S.No,States,2018,2019,2020
1,Andhra Pradesh,966,820,759
2,Arunachal Pradesh,31,24,15
3,Assam,150,129,247
4,Bihar,671,1560,827
5,Chhattisgarh,1911,1647,2090
6,Goa,20,27,25
7,Gujarat,2040,2025,1812
8,Haryana,1178,1319,1042
9,Himachal Pradesh,232,181,202
10,Jharkhand,79,76,59
11,Karnataka,528,453,438
12,Kerala,475,451,331
13,Madhya Pradesh,5232,5522,4819
14,Maharashtra,5880,5189,4079
15,Manipur,10,2,20
16,Meghalaya,71,75,59
17,Mizoram,31,23,21
18,Nagaland,10,6,3
19,Odisha,1078,1162,1095
20,Punjab,236,246,267
21,Rajasthan,2068,2397,2386
22,Sikkim,9,4,12
23,Tamil Nadu,2304,2686,3394
24,Telangana,1408,1352,1013
25,Tripura,44,39,28
26,Uttar Pradesh,1048,976,1282
27,Uttarakhand,179,94,77
28,West Bengal,503,537,586
