S.No,State,2018,2019,2020
1,Andhra Pradesh,240,245,171
2,Arunachal Pradesh,3,0,2
3,Assam,308,201,124
4,Bihar,127,106,75
5,Chhattisgarh,51,50,38
6,Goa,55,38,17
7,Gujarat,13,11,13
8,Haryana,34,15,14
9,Himachal Pradesh,6,11,4
10,Jharkhand,140,177,140
11,Karnataka,27,32,13
12,Kerala,105,180,166
13,Madhya Pradesh,63,73,80
14,Maharashtra,311,282,184
15,Manipur,3,9,6
16,Meghalaya,24,22,1
17,Mizoram,2,7,0
18,Nagaland,0,3,0
19,Odisha,75,147,103
20,Punjab,17,19,17
21,Rajasthan,86,141,128
22,Sikkim,1,0,1
23,Tamil Nadu,8,16,11
24,Telangana,242,137,184
25,Tripura,2,1,1
26,Uttar Pradesh,35,48,90
27,Uttarakhand,29,20,9
28,West Bengal,172,120,59
