S.No,State,2018,2019,2020
1,Andhra Pradesh,2672,2524,2648
2,Arunachal Pradesh,166,153,113
3,Assam,5447,6608,4622
4,Bihar,7340,9320,6591
5,Chhattisgarh,6924,5665,5056
6,Goa,182,167,125
7,Gujarat,4929,4685,4075
8,Haryana,4869,5119,4338
9,Himachal Pradesh,772,748,636
10,Jharkhand,1479,1674,1795
11,Karnataka,6131,6305,5471
12,Kerala,4253,4754,3941
13,Madhya Pradesh,18992,19028,17008
14,Maharashtra,18892,19592,14371
15,Manipur,128,148,125
16,Meghalaya,385,379,415
17,Mizoram,198,125,142
18,Nagaland,70,59,31
19,Odisha,5217,7012,6330
20,Punjab,2308,2625,2121
21,Rajasthan,5150,7385,6580
22,Sikkim,221,163,147
23,Tamil Nadu,4155,4139,4338
24,Telangana,3747,4212,4200
25,Tripura,271,311,260
26,Uttar Pradesh,19936,18943,15271
27,Uttarakhand,1306,1214,1066
28,West Bengal,6286,6191,10248
