S.No,State,2018,2019,2020
1,Andhra Pradesh,16438,17746,17089
2,Arunachal Pradesh,368,317,281
3,Assam,27687,30025,26352
4,Bihar,16920,18587,15359
5,Chhattisgarh,8587,7689,7385
6,Goa,362,329,219
7,Gujarat,8329,8799,8028
8,Haryana,14326,14683,13000
9,Himachal Pradesh,1633,1636,1614
10,Jharkhand,7083,8760,7630
11,Karnataka,13514,13828,12680
12,Kerala,10461,11462,10139
13,Madhya Pradesh,28942,27560,25640
14,Maharashtra,35497,37144,31954
15,Manipur,271,266,247
16,Meghalaya,571,558,568
17,Mizoram,249,170,172
18,Nagaland,75,43,39
19,Odisha,20274,23183,25489
20,Punjab,5302,5886,4838
21,Rajasthan,27866,41550,34535
22,Sikkim,172,125,140
23,Tamil Nadu,5822,5934,6630
24,Telangana,16027,18394,17791
25,Tripura,907,1070,874
26,Uttar Pradesh,59445,59853,49385
27,Uttarakhand,2817,2541,2846
28,West Bengal,30394,29859,36439
